epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.882,1.6064,3.22361,2.14002,0.00336,1,0.02733,0.01533,0.09013,2.90141,0.61033,0.0006,0.0006,0.0946
2,11.8201,1.29357,2.47924,1.68493,0.65584,0.28571,0.20986,0.03278,2.67099,4.8965,33.7536,0.00128713,0.00128713,0.0882871
3,12.7429,1.3205,1.8468,1.75373,0.06545,1,0.10733,0.02158,2.91291,149.013,170.73,0.0019604,0.0019604,0.0819604
4,13.6229,1.18702,1.43605,1.55337,0.00821,1,0.01527,0.00454,2.40231,418.443,83.2756,0.00261981,0.00261981,0.0756198
5,14.4879,1.24789,1.42302,1.66105,0,0,0,0,nan,nan,nan,0.00326536,0.00326536,0.0692654
6,15.324,1.22821,1.30541,1.60705,0,0,0,0,nan,nan,nan,0.00389705,0.00389705,0.0628971
7,16.1836,1.23814,1.26658,1.59595,0,0,0,0,nan,nan,nan,0.00451488,0.00451488,0.0565149
8,17.138,1.19882,1.19007,1.54286,0,0,0,0,nan,nan,nan,0.00511885,0.00511885,0.0501188
9,17.9873,1.15212,1.06977,1.51118,0,0,0,0,nan,nan,nan,0.00570896,0.00570896,0.043709
10,18.8063,1.13268,1.11082,1.5002,0,0,0,0,nan,nan,nan,0.00628521,0.00628521,0.0372852
11,19.6392,1.15867,1.14922,1.53338,0,0,0,0,nan,nan,nan,0.0068476,0.0068476,0.0308476
12,20.5104,1.0881,1.0347,1.42282,0,0,0,0,nan,nan,nan,0.00739613,0.00739613,0.0243961
13,21.3549,1.05935,1.00393,1.45712,0,0,0,0,nan,nan,nan,0.0079308,0.0079308,0.0179308
14,22.1894,1.11246,1.0369,1.48305,0,0,0,0,3.67978,inf,34.3695,0.00845161,0.00845161,0.0114516
15,23.0161,1.0041,0.97454,1.39015,0.00865,0.21429,0.01169,0.00151,3.83319,7.90089,17.4643,0.008614,0.008614,0.008614
16,23.8633,0.96015,0.92734,1.38972,0,0,0,0,5.19792,8.43825,39.601,0.008515,0.008515,0.008515
17,24.8125,1.08388,0.93502,1.43237,0.00073,0.16667,0.00037,7e-05,4.80244,10.9511,23.1173,0.008416,0.008416,0.008416
18,25.6331,0.97899,0.89292,1.38289,0.83779,0.5,0.40335,0.11901,3.61904,11.9045,11.4275,0.008317,0.008317,0.008317
19,26.5036,0.90096,0.93969,1.31683,0.59319,0.5,0.12372,0.04567,2.13443,5.99113,5.43155,0.008218,0.008218,0.008218
20,27.3605,1.02709,0.93108,1.39686,0.62721,0.5,0.29233,0.17901,1.66725,4.57894,4.77488,0.008119,0.008119,0.008119
21,28.2134,0.94766,1.01178,1.40792,0.15958,0.83333,0.34749,0.11199,1.92843,7.42104,4.3387,0.00802,0.00802,0.00802
22,29.0576,0.92448,0.87567,1.31055,0.79024,0.5,0.66468,0.13979,3.06112,2.36683,6.83029,0.007921,0.007921,0.007921
23,29.9615,0.86067,0.84292,1.27878,0.83444,0.5,0.84575,0.28697,2.79472,3.82865,5.06735,0.007822,0.007822,0.007822
24,30.903,0.86668,0.86715,1.32798,0.64197,0.5,0.47729,0.26816,1.53344,3.72747,3.81007,0.007723,0.007723,0.007723
25,31.7575,0.86149,0.85672,1.27762,0.67426,0.5,0.46157,0.2545,1.54068,3.90659,3.88934,0.007624,0.007624,0.007624
26,32.6414,0.88169,0.83186,1.32557,0.6776,0.5,0.28777,0.13205,2.16868,3.43292,5.09533,0.007525,0.007525,0.007525
27,33.6464,0.84806,0.79718,1.27004,0.62948,0.5,0.54192,0.31449,1.83385,2.83939,3.90681,0.007426,0.007426,0.007426
28,34.5317,0.80827,0.78407,1.2317,0.67212,0.5,0.7049,0.11721,3.01518,3.72392,5.31162,0.007327,0.007327,0.007327
29,35.4175,0.77542,0.78561,1.21722,0.65754,0.5,0.44633,0.08367,3.18116,4.48405,5.65619,0.007228,0.007228,0.007228
30,36.3545,0.82204,0.84104,1.29865,0.69211,0.5,0.62931,0.41177,1.55962,2.94108,2.85936,0.007129,0.007129,0.007129
31,37.2547,0.82384,0.82729,1.26862,0.78186,0.5,0.66333,0.398,1.72768,3.47924,3.17486,0.00703,0.00703,0.00703
32,38.1885,0.78868,0.80533,1.23462,0.59459,0.5,0.14951,0.09931,1.17266,4.44528,1.89881,0.006931,0.006931,0.006931
33,39.0927,0.76907,0.82097,1.25201,0.74243,0.5,0.47608,0.32833,1.07627,4.72548,1.78192,0.006832,0.006832,0.006832
34,40.0761,0.75917,0.82603,1.22611,0.13507,1,0.18408,0.11044,1.78404,2.95418,2.33381,0.006733,0.006733,0.006733
35,40.9228,0.74977,0.83487,1.21974,0.69174,0.5,0.75162,0.64169,0.92049,2.57682,1.60238,0.006634,0.006634,0.006634
36,41.7765,0.78466,0.78366,1.22691,0.08301,1,0.13262,0.11075,0.75962,3.24746,1.35003,0.006535,0.006535,0.006535
37,42.6198,0.76871,0.78162,1.21842,0.69634,0.5,0.2347,0.16463,0.97652,3.13635,1.59439,0.006436,0.006436,0.006436
38,43.4998,0.6907,0.73457,1.18087,0.30675,1,0.58342,0.48939,0.74406,1.03642,1.35758,0.006337,0.006337,0.006337
39,44.3619,0.72656,0.8013,1.19422,0.46399,1,0.54867,0.35484,1.48271,1.21156,2.66323,0.006238,0.006238,0.006238
40,45.2452,0.7607,0.77237,1.19575,0.84725,0.5,0.53481,0.36885,1.2452,1.5079,1.87479,0.006139,0.006139,0.006139
41,46.1247,0.68845,0.71165,1.18029,0.30003,1,0.597,0.46765,1.1871,1.63965,1.75225,0.00604,0.00604,0.00604
42,47.155,0.75733,0.7407,1.208,0.4045,1,0.8045,0.66925,0.96822,1.16773,1.44581,0.005941,0.005941,0.005941
43,47.9659,0.75729,0.69731,1.20453,0.25472,1,0.84575,0.6881,0.87127,1.48894,1.20165,0.005842,0.005842,0.005842
44,48.7979,0.6543,0.7184,1.15002,0.21605,1,0.78771,0.73796,0.57335,1.77212,0.97585,0.005743,0.005743,0.005743
45,49.6912,0.69839,0.71267,1.20577,0.37409,1,0.84575,0.75485,0.52488,1.08426,0.92714,0.005644,0.005644,0.005644
46,50.6052,0.69698,0.77701,1.18474,0.32914,1,0.77975,0.52651,1.30639,1.29621,1.85385,0.005545,0.005545,0.005545
47,51.502,0.75366,0.71244,1.21699,0.67468,0.5,0.61475,0.4918,1.10776,2.41027,1.81647,0.005446,0.005446,0.005446
48,52.3822,0.71489,0.6837,1.19123,0.46744,1,0.84575,0.76117,0.47651,1.04621,0.87295,0.005347,0.005347,0.005347
49,53.1842,0.65108,0.71218,1.15676,0.46448,1,0.564,0.5076,0.46709,1.09188,0.92249,0.005248,0.005248,0.005248
50,54.0102,0.61499,0.69781,1.13516,0.46546,1,0.61475,0.55327,0.57895,0.91864,0.8861,0.005149,0.005149,0.005149
